Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,2038.2,2038.2,1989.68,2012.66,2391600000.0
2016-01-05,2013.78,2021.94,2004.17,2016.71,2059233333.0
2016-01-06,2011.71,2011.71,1979.05,1990.26,2409255556.0
2016-01-07,1985.32,1985.32,1938.83,1943.09,2820327778.0
2016-01-08,1945.97,1960.4,1918.46,1922.03,2591633333.0
2016-01-11,1926.12,1935.65,1901.1,1923.67,2559605556.0
2016-01-12,1927.83,1947.38,1914.35,1938.68,2715144444.0
2016-01-13,1940.34,1950.33,1886.41,1890.28,2826127778.0
2016-01-14,1891.68,1934.47,1878.93,1921.84,2911727778.0
2016-01-15,1916.68,1916.68,1857.83,1880.33,3038033333.0
2016-01-19,1888.66,1901.44,1864.6,1881.33,2737972222.0
2016-01-20,1876.18,1876.18,1812.29,1859.33,3564483333.0
2016-01-21,1861.46,1889.85,1848.98,1868.99,2821561111.0
2016-01-22,1877.4,1908.85,1877.4,1906.9,2723200000.0
2016-01-25,1906.28,1906.28,1875.97,1877.08,2445211111.0
2016-01-26,1878.79,1906.73,1878.79,1903.63,2421077778.0
2016-01-27,1902.52,1916.99,1872.7,1882.95,2641133333.0
2016-01-28,1885.22,1902.96,1873.65,1893.36,2607227778.0
2016-01-29,1894.0,1940.24,1894.0,1940.24,3054205556.0
2016-02-01,1936.94,1947.2,1920.3,1939.38,2401405556.0
2016-02-02,1935.26,1935.26,1897.29,1903.03,2479550000.0
2016-02-03,1907.07,1918.01,1872.23,1912.53,2873861111.0
2016-02-04,1911.67,1927.35,1900.52,1915.45,2885177778.0
2016-02-05,1913.07,1913.07,1872.65,1880.05,2738855556.0
2016-02-08,1873.25,1873.25,1828.46,1853.44,3131366667.0
2016-02-09,1848.46,1868.25,1834.94,1852.21,2879566667.0
2016-02-10,1857.1,1881.6,1850.32,1851.86,2483983333.0
2016-02-11,1847.0,1847.0,1810.1,1829.08,3056000000.0
2016-02-12,1833.4,1864.78,1833.4,1864.78,2609400000.0
2016-02-16,1871.44,1895.77,1871.44,1895.58,2539261111.0
2016-02-17,1898.8,1930.68,1898.8,1926.82,2784188889.0
2016-02-18,1927.57,1930.0,1915.09,1917.83,2464716667.0
2016-02-19,1916.74,1918.78,1902.17,1917.78,2301583333.0
2016-02-22,1924.44,1946.7,1924.44,1945.5,2252616667.0
2016-02-23,1942.38,1942.38,1919.44,1921.27,2161472222.0
2016-02-24,1917.56,1932.08,1891.0,1929.8,2398472222.0
2016-02-25,1931.87,1951.83,1925.41,1951.7,2287894444.0
2016-02-26,1954.95,1962.96,1945.78,1948.05,2415838889.0
2016-02-29,1947.13,1958.27,1931.81,1932.23,2548988889.0
2016-03-01,1937.09,1978.35,1937.09,1978.35,2677638889.0
2016-03-02,1976.6,1986.51,1968.8,1986.45,2592561111.0
2016-03-03,1985.6,1993.69,1977.37,1993.4,2823166667.0
2016-03-04,1994.01,2009.13,1986.77,1999.99,3361072222.0
2016-03-07,1996.11,2006.12,1989.38,2001.76,2760100000.0
2016-03-08,1996.88,1996.88,1977.43,1979.26,2578694444.0
2016-03-09,1981.44,1992.69,1979.84,1989.26,2243400000.0
2016-03-10,1990.97,2005.08,1969.25,1989.57,2431550000.0
2016-03-11,1994.71,2022.37,1994.71,2022.19,2265900000.0
2016-03-14,2019.27,2024.57,2012.05,2019.64,1937694444.0
2016-03-15,2015.27,2015.94,2005.23,2015.93,1977933333.0
2016-03-16,2014.24,2032.02,2010.04,2027.22,2253900000.0
2016-03-17,2026.9,2046.24,2022.16,2040.59,2516933333.0
2016-03-18,2041.16,2052.36,2041.16,2049.58,3612855556.0
2016-03-21,2047.88,2053.91,2043.14,2051.6,1875888889.0
2016-03-22,2048.64,2056.6,2040.57,2049.8,1899144444.0
2016-03-23,2048.55,2048.55,2034.86,2036.71,2021950000.0
2016-03-24,2032.48,2036.04,2022.49,2035.94,1893177778.0
2016-03-28,2037.89,2042.67,2031.96,2037.05,1560605556.0
2016-03-29,2035.75,2055.91,2028.31,2055.01,2123516667.0
2016-03-30,2058.27,2072.21,2058.27,2063.95,1994616667.0
2016-03-31,2063.77,2067.92,2057.46,2059.74,2064044444.0
2016-04-01,2056.62,2075.07,2043.98,2072.78,2083327778.0
2016-04-04,2073.19,2074.02,2062.57,2066.13,1936505556.0
2016-04-05,2062.5,2062.5,2042.56,2045.17,2308288889.0
2016-04-06,2045.56,2067.33,2043.09,2066.66,2083777778.0
2016-04-07,2063.01,2063.01,2033.8,2041.91,2111805556.0
2016-04-08,2045.54,2060.63,2041.69,2047.6,1866405556.0
2016-04-11,2050.23,2062.93,2041.88,2041.99,1982133333.0
2016-04-12,2043.72,2065.05,2039.74,2061.72,2355411111.0
2016-04-13,2065.92,2083.18,2065.92,2082.42,2328794444.0
2016-04-14,2082.89,2087.84,2078.13,2082.78,2092150000.0
2016-04-15,2083.1,2083.22,2076.31,2080.73,2056361111.0
2016-04-18,2078.83,2094.66,2073.65,2094.34,1842711111.0
2016-04-19,2096.05,2104.05,2091.68,2100.8,2164905556.0
2016-04-20,2101.52,2111.05,2096.32,2102.4,2324933333.0
2016-04-21,2102.09,2103.78,2088.52,2091.48,2319605556.0
2016-04-22,2091.49,2094.32,2081.2,2091.58,2105877778.0
2016-04-25,2089.37,2089.37,2077.52,2087.79,1844300000.0
2016-04-26,2089.84,2096.87,2085.8,2091.7,1976216667.0
2016-04-27,2092.33,2099.89,2082.31,2095.15,2277838889.0
2016-04-28,2090.93,2099.3,2071.62,2075.81,2394355556.0
2016-04-29,2071.82,2073.85,2052.28,2065.3,2613733333.0
2016-05-02,2067.17,2083.42,2066.11,2081.43,2133950000.0
2016-05-03,2077.18,2077.18,2054.89,2063.37,2318550000.0
2016-05-04,2060.3,2060.3,2045.55,2051.12,2254755556.0
2016-05-05,2052.95,2060.23,2045.77,2050.63,2226961111.0
2016-05-06,2047.77,2057.72,2039.45,2057.14,2109083333.0
2016-05-09,2057.55,2064.15,2054.31,2058.69,2104788889.0
2016-05-10,2062.63,2084.87,2062.63,2084.39,2000111111.0
2016-05-11,2083.29,2083.29,2064.46,2064.46,2123322222.0
2016-05-12,2067.17,2073.99,2053.13,2064.11,2101327778.0
2016-05-13,2062.5,2066.79,2043.13,2046.61,1988822222.0
2016-05-16,2046.53,2071.88,2046.53,2066.66,1945200000.0
2016-05-17,2065.04,2065.69,2040.82,2047.21,2282755556.0
2016-05-18,2044.38,2060.61,2034.49,2047.63,2278511111.0
2016-05-19,2044.21,2044.21,2025.91,2040.04,2137094444.0
2016-05-20,2041.88,2058.35,2041.88,2052.32,1948694444.0
2016-05-23,2052.23,2055.58,2047.26,2048.04,1697488889.0
2016-05-24,2052.65,2079.67,2052.65,2076.06,2015188889.0
2016-05-25,2078.93,2094.73,2078.93,2090.54,2143977778.0
2016-05-26,2091.44,2094.3,2087.08,2090.1,1794994444.0
2016-05-27,2090.06,2099.06,2090.06,2099.06,1710638889.0
2016-05-31,2100.13,2103.48,2088.66,2096.95,2508005556.0
2016-06-01,2093.94,2100.97,2085.1,2099.33,1958427778.0
2016-06-02,2097.71,2105.26,2088.59,2105.26,2018177778.0
2016-06-03,2104.07,2104.07,2085.36,2099.13,2015433333.0
2016-06-06,2100.83,2113.36,2100.83,2109.41,1912233333.0
2016-06-07,2110.18,2119.22,2110.18,2112.13,1963738889.0
2016-06-08,2112.71,2120.55,2112.71,2119.12,1978922222.0
2016-06-09,2115.65,2117.64,2107.73,2115.48,1827955556.0
2016-06-10,2109.57,2109.57,2089.96,2096.07,1952783333.0
2016-06-13,2091.75,2098.12,2078.46,2079.06,1884461111.0
2016-06-14,2076.65,2081.3,2064.1,2075.32,2088761111.0
2016-06-15,2077.6,2085.65,2069.8,2071.5,1969288889.0
2016-06-16,2066.36,2079.62,2050.37,2077.99,2015711111.0
2016-06-17,2078.2,2078.2,2062.84,2071.22,2751461111.0
2016-06-20,2075.58,2100.66,2075.58,2083.25,1926355556.0
2016-06-21,2085.19,2093.66,2083.02,2088.9,1796044444.0
2016-06-22,2089.75,2099.71,2084.36,2085.45,1760088889.0
2016-06-23,2092.8,2113.32,2092.8,2113.32,1832188889.0
2016-06-24,2103.81,2103.81,2032.57,2037.41,4220805556.0
2016-06-27,2031.45,2031.45,1991.68,2000.54,3017344444.0
2016-06-28,2006.67,2036.09,2006.67,2036.09,2436561111.0
2016-06-29,2042.69,2073.13,2042.69,2070.77,2356522222.0
2016-06-30,2073.17,2098.94,2070.0,2098.86,2568233333.0
2016-07-01,2099.34,2108.71,2097.9,2102.95,1921605556.0
2016-07-05,2095.05,2095.05,2080.86,2088.55,2032433333.0
2016-07-06,2084.43,2100.72,2074.02,2099.73,2171877778.0
2016-07-07,2100.42,2109.08,2089.39,2097.9,2002527778.0
2016-07-08,2106.97,2131.71,2106.97,2129.9,2004166667.0
2016-07-11,2131.72,2143.16,2131.72,2137.16,1807411111.0
2016-07-12,2139.5,2155.4,2139.5,2152.14,2276566667.0
2016-07-13,2153.81,2156.45,2146.21,2152.43,1945733333.0
2016-07-14,2157.88,2168.99,2157.88,2163.75,1925338889.0
2016-07-15,2165.13,2169.05,2155.79,2161.74,1734777778.0
2016-07-18,2162.04,2168.35,2159.63,2166.89,1671838889.0
2016-07-19,2163.79,2164.63,2159.01,2163.78,1649077778.0
2016-07-20,2166.1,2175.63,2164.89,2173.02,1784366667.0
2016-07-21,2172.91,2174.56,2159.75,2165.17,1910500000.0
2016-07-22,2166.47,2175.11,2163.24,2175.03,1679600000.0
2016-07-25,2173.71,2173.71,2161.95,2168.48,1698466667.0
2016-07-26,2168.97,2173.54,2160.18,2169.18,1912416667.0
2016-07-27,2169.81,2174.98,2159.07,2166.58,2219722222.0
2016-07-28,2166.05,2172.85,2159.74,2170.06,2035688889.0
2016-07-29,2168.83,2177.09,2163.49,2173.6,2243800000.0
2016-08-01,2173.15,2178.29,2166.21,2170.84,1947772222.0
2016-08-02,2169.94,2170.2,2147.58,2157.03,2138194444.0
2016-08-03,2156.81,2163.79,2152.56,2163.79,2103627778.0
2016-08-04,2163.51,2168.19,2159.07,2164.25,2060666667.0
2016-08-05,2168.79,2182.87,2168.79,2182.87,2035038889.0
2016-08-08,2183.76,2185.44,2177.85,2180.89,1848638889.0
2016-08-09,2182.24,2187.66,2178.61,2181.74,1852388889.0
2016-08-10,2182.81,2183.41,2172.0,2175.49,1808305556.0
2016-08-11,2177.97,2188.45,2177.97,2185.79,1901755556.0
